suborder_index,suborder_distance,start_station,end_station,start_time,end_time,promise_time,actual_time,driver_price
0.0,69.95,83.0,74.0,1.66,3.08,1.34,1.42,332.23
1.0,130.57,74.0,65.0,4.6,7.06,2.4,2.46,419.55
2.0,118.46,65.0,57.0,8.51,10.06,1.49,1.55,453.88
3.0,56.05,57.0,56.0,11.32,12.27,0.68,0.95,248.92
4.0,127.97,56.0,50.0,13.48,15.57,2.02,2.09,439.4
5.0,56.06,50.0,40.0,16.28,17.36,1.22,1.08,238.28
6.0,142.54,40.0,33.0,18.72,20.91,1.78,2.19,521.57
7.0,55.46,33.0,23.0,21.05,21.62,0.95,0.57,302.83
8.0,147.54,23.0,14.0,22.5,25.51,3.0,3.01,445.37
9.0,130.83,14.0,5.0,26.83,30.25,3.17,3.42,325.03
